customer_id,first_name,last_name,email,country,signup_date,last_purchase_date,total_purchases,total_spend,average_order_value,customer_segment,churn_risk
25,Joshua,Higgins,hallstephanie@example.com,CA,2023-09-14,2023-11-06,6,2202.9,95.16,loyal,0.43
26,Steven,Edwards,obrienchristopher@example.org,US,2023-01-26,2023-03-04,20,1821.89,131.29,new,0.84
27,Brandon,Morton,wgomez@example.org,UK,2023-08-28,2023-12-18,49,2767.39,103.63,active,0.63
28,Brian,Parks,tylerhall@example.com,US,2023-03-02,2023-03-24,22,1430.7,65.62,new,0.47
29,Michael,Foster,kcarey@example.com,IN,2023-08-23,2023-12-03,35,2303.66,76.1,active,0.04
30,Ryan,Marshall,james63@example.net,IN,2023-03-14,2023-04-21,35,4266.36,29.12,active,0.74
31,Molly,Mcdonald,richardsmith@example.com,CA,2023-01-18,2023-11-22,26,2000.04,23.31,churned,0.64
32,Robin,Hurst,ythompson@example.com,IN,2023-04-24,2023-06-30,15,2034.53,116.96,churned,0.15
33,Ryan,Guerra,karenchen@example.org,UK,2023-08-08,2023-08-21,7,1819.14,101.84,churned,0.34
34,Jacqueline,Moore,taylormegan@example.org,CA,2023-02-19,2023-12-26,12,3047.88,112.93,churned,0.82
35,Dennis,Kirby,lewismatthew@example.net,CA,2023-02-25,2023-09-07,22,3245.57,68.24,loyal,0.7
36,Cameron,Brown,crystalnolan@example.net,UK,2023-01-28,2023-03-01,42,3092.8,182.21,active,0.04
37,Kenneth,Garcia,daniel82@example.org,UK,2023-01-27,2023-02-14,2,1216.97,65.36,churned,0.78
38,Jennifer,Tran,kevin50@example.com,AU,2023-03-29,2023-05-10,21,4945.98,24.64,loyal,0.5
39,Linda,Fuller,allenlee@example.net,CA,2023-08-22,2023-09-19,24,736.14,192.03,churned,0.73
40,Gary,Mclaughlin,morseconnie@example.com,IN,2023-07-03,2023-07-26,41,4968.78,93.82,new,0.24
41,Penny,Smith,kimberly41@example.org,UK,2023-09-19,2023-11-14,48,3046.38,86.42,new,0.07
42,Ellen,Myers,coltonrodriguez@example.net,CA,2023-07-22,2023-12-30,29,1305.01,82.45,active,0.72
43,Donna,Taylor,vclark@example.com,CA,2023-09-20,2023-11-03,48,714.09,147.18,active,0.71
44,Kristopher,Gregory,tom69@example.net,IN,2023-02-25,2023-10-09,39,3942.22,70.14,loyal,0.33
45,Carmen,Glover,pthomas@example.net,CA,2023-01-03,2023-07-09,23,4240.91,46.3,churned,0.95
46,Anna,Kennedy,ryan32@example.net,US,2023-04-22,2023-08-16,17,4093.71,29.47,churned,0.19
47,Meredith,Foster,ashlee79@example.net,US,2023-06-15,2023-11-03,4,4660.22,133.94,active,0.73
48,David,Torres,kylezhang@example.com,UK,2023-01-30,2023-09-30,34,2319.25,46.06,active,0.29
49,Antonio,Morrison,richardclay@example.org,CA,2023-04-15,2023-09-16,11,1120.51,65.21,loyal,0.96
50,Vanessa,Mckee,kevinroberts@example.net,CA,2023-10-10,2023-12-09,41,1427.76,127.42,churned,0.58
51,Penny,Hale,michaelodom@example.org,US,2023-03-09,2023-05-04,35,280.81,189.38,loyal,0.26
52,Wesley,Ortiz,david48@example.com,US,2023-10-03,2023-12-19,50,1474.68,117.31,churned,0.99
53,Ashley,Leon,stephanie24@example.org,IN,2023-06-28,2023-06-29,39,1692.07,101.16,new,0.39
54,Jessica,Martinez,henrysanders@example.net,CA,2023-11-19,2023-11-20,18,674.54,120.04,loyal,0.67
55,Charles,Ray,charles33@example.net,IN,2023-06-02,2023-12-05,21,3130.92,171.87,churned,0.82
56,Thomas,Potter,lgonzalez@example.org,CA,2023-03-12,2023-07-21,29,1891.58,197.51,loyal,0.65
57,Andrea,Scott,josevasquez@example.net,US,2023-05-25,2023-12-24,9,605.7,179.32,active,0.9
58,Kathryn,Smith,estesgeorge@example.com,IN,2023-09-14,2023-12-29,41,2924.9,91.14,new,0.04
59,Tara,Blair,barrerajulia@example.com,CA,2023-06-21,2023-12-12,31,707.43,109.27,active,0.61
60,Victor,Welch,pmitchell@example.com,US,2023-06-21,2023-12-29,27,1017.93,160.56,loyal,0.04
61,Kristin,Turner,ryan09@example.net,US,2023-10-09,2023-11-08,6,3604.46,173.93,churned,0.58
62,Brenda,Fischer,austindaniel@example.com,IN,2023-07-29,2023-10-19,34,538.62,91.4,loyal,0.67
63,Sharon,Booker,wgomez@example.org,UK,2023-12-12,2023-12-14,48,3215.51,74.12,new,0.73
64,James,Sullivan,wilkinsjames@example.com,IN,2023-08-22,2023-10-02,13,2747.9,80.75,loyal,0.38
65,Ryan,Garza,colenicole@example.net,UK,2023-06-13,2023-07-07,8,3513.06,193.24,loyal,0.48
66,Jennifer,Young,scottpamela@example.com,CA,2023-06-18,2023-07-19,13,982.93,52.35,churned,0.84
67,Barbara,French,davidmarquez@example.net,IN,2023-06-03,2023-11-08,42,2012.91,180.79,active,0.02
68,Jeremiah,Garcia,xholland@example.net,CA,2023-08-18,2023-10-26,19,2015.44,152.05,active,1.0
69,Kayla,Lucas,zmitchell@example.net,UK,2023-01-02,2023-08-10,30,4500.2,181.26,churned,0.7
70,James,Bailey,joseph77@example.net,IN,2023-01-20,2023-01-24,9,1387.75,73.37,active,0.57
71,Melissa,Jimenez,grossspencer@example.com,AU,2023-05-31,2023-10-14,39,2581.23,181.11,active,0.34
72,Kelly,Cooper,connormcclure@example.com,IN,2023-08-18,2023-09-24,38,1182.35,151.33,new,0.8
73,Julie,Boone,patricia34@example.org,IN,2023-04-09,2023-09-14,23,1810.3,29.49,active,0.78
74,Michelle,Mathews,aguilarjames@example.com,UK,2023-02-10,2023-06-10,31,4116.29,57.37,new,0.9
75,Curtis,Haas,qwhite@example.org,US,2023-10-29,2023-11-16,28,4595.57,114.75,loyal,0.1
76,Nicholas,Glass,jfowler@example.org,AU,2023-04-05,2023-11-28,6,2843.2,109.73,churned,0.39
77,Tanya,Gregory,seaton@example.com,IN,2023-02-11,2023-11-29,34,2761.63,71.02,active,0.86
78,Mario,Reed,nathan60@example.org,CA,2023-05-03,2023-09-17,49,1624.99,178.85,churned,0.3
79,James,Chandler,james96@example.com,UK,2023-01-04,2023-09-20,16,171.62,177.76,active,0.25
80,Mckenzie,Allen,morgantiffany@example.org,AU,2023-12-10,2023-12-30,9,3205.93,24.22,churned,0.46
81,Hannah,Golden,andersonkristina@example.com,CA,2023-07-29,2023-09-28,9,3345.78,41.22,new,0.65
82,Michael,Johnson,swalker@example.org,IN,2023-04-17,2023-10-01,18,357.11,165.24,active,0.65
83,Erin,Dennis,gwebb@example.net,AU,2023-11-20,2023-12-12,47,1855.66,191.16,churned,0.84
84,Amy,Camacho,jenniferross@example.com,US,2023-08-30,2023-10-03,46,4880.63,123.74,active,0.6
85,Harold,Martinez,vnewman@example.net,AU,2023-12-14,2023-12-28,41,3103.53,172.59,loyal,0.61
86,Ricardo,Payne,joseph58@example.com,IN,2023-03-30,2023-08-18,8,155.52,38.39,churned,0.06
87,Eugene,Martin,qdennis@example.net,UK,2023-12-29,2023-12-30,36,1377.46,182.68,active,0.47
88,Jose,Cox,rothnicholas@example.com,AU,2023-04-09,2023-10-10,16,1965.01,117.26,churned,0.43
89,Brian,Donovan,qperry@example.com,CA,2023-05-21,2023-11-01,35,3183.63,178.68,active,0.86
90,Randall,Wong,amymoyer@example.org,IN,2023-11-01,2023-12-07,43,3077.16,58.46,active,0.92
91,Julie,Bell,morgan97@example.net,UK,2023-03-14,2023-07-16,38,683.55,148.79,churned,0.53
92,Michael,Simmons,jonathan38@example.net,UK,2023-11-20,2023-12-20,9,159.84,163.96,loyal,0.09
93,Donna,Vasquez,michael61@example.net,CA,2023-10-31,2023-12-18,29,3843.88,58.53,active,0.86
94,Keith,Young,sarahcuevas@example.net,IN,2023-10-13,2023-11-13,36,2685.56,20.96,churned,0.16
95,Douglas,Nolan,amybryant@example.com,IN,2023-11-30,2023-12-29,20,282.34,101.55,active,0.15
96,Melinda,White,ischmidt@example.com,US,2023-09-16,2023-10-22,1,3405.25,180.11,loyal,0.13
97,Annette,Torres,jclark@example.org,CA,2023-04-04,2023-09-14,27,4814.75,111.64,loyal,0.37
98,Patrick,Brown,sholt@example.net,CA,2023-02-09,2023-12-18,14,406.09,159.19,loyal,0.18
99,Katherine,Hicks,alexander36@example.org,US,2023-10-12,2023-10-27,14,343.09,20.19,active,0.27
100,Steven,Murillo,jennifer60@example.com,US,2023-02-18,2023-03-08,18,4676.89,94.08,new,0.01
101,Kimberly,Smith,watsonbrian@example.com,US,2023-08-13,2023-10-27,28,4581.2,42.91,loyal,0.06
102,Brittany,Griffin,kim41@example.com,CA,2023-12-21,2023-12-31,42,2627.64,69.56,new,0.69
103,Barbara,Jackson,alyssa52@example.com,IN,2023-05-24,2023-05-24,19,4540.16,48.72,loyal,0.79
104,Jessica,Miller,morrispeter@example.net,IN,2023-10-18,2023-10-29,38,2648.42,23.06,churned,0.58
105,Adam,Scott,jessica99@example.org,US,2023-10-30,2023-11-13,50,704.75,150.96,loyal,0.9
106,Sara,Phillips,robertcunningham@example.com,UK,2023-07-27,2023-08-19,45,3833.86,190.31,churned,0.66
107,Lisa,Burns,xsimmons@example.net,IN,2023-08-01,2023-11-03,4,2640.65,41.24,churned,0.5
108,Alexis,Reynolds,kristen10@example.net,IN,2023-12-06,2023-12-28,40,4138.05,102.8,active,0.65
109,Andrew,Spencer,htodd@example.com,UK,2023-07-31,2023-10-01,49,1516.93,24.98,loyal,0.63
110,Erica,Henson,reginald17@example.org,IN,2023-07-23,2023-10-26,48,4483.27,81.97,active,0.31
111,Jodi,Collins,lthomas@example.org,UK,2023-12-24,2023-12-30,18,4067.74,140.94,churned,0.04
112,Alan,Velasquez,stephenmitchell@example.org,IN,2023-03-23,2023-05-31,36,688.42,55.34,active,0.28
113,Manuel,Lloyd,watkinsemily@example.net,US,2023-07-26,2023-10-20,31,1037.3,146.38,active,0.31
114,Phillip,Martinez,paulahernandez@example.com,CA,2023-01-02,2023-10-12,19,3990.63,30.96,churned,0.17
115,Kristen,Murphy,johnathan29@example.com,US,2023-04-26,2023-09-24,14,4049.61,179.58,active,0.82
116,Connie,Richards,eedwards@example.org,IN,2023-05-23,2023-05-30,18,3192.66,86.34,loyal,0.74
117,Brandon,Christian,ryanriley@example.org,IN,2023-02-19,2023-03-23,3,364.31,154.5,churned,0.41
118,Marcus,Martin,ayates@example.org,UK,2023-05-08,2023-08-30,33,269.54,198.13,new,0.42
119,Stephen,Carr,helenrobertson@example.net,US,2023-03-30,2023-04-24,27,1019.6,91.95,loyal,0.41
120,Jonathan,Blevins,joannesandoval@example.net,CA,2023-04-16,2023-10-01,32,4251.86,198.09,loyal,0.15
121,Lori,Mccoy,dmullins@example.net,CA,2023-10-09,2023-12-18,25,2526.02,174.68,active,0.38
122,Kelly,Torres,torresjessica@example.net,UK,2023-04-29,2023-10-09,26,881.03,45.08,new,0.46
123,Rebecca,Walsh,browningrebecca@example.org,AU,2023-11-07,2023-11-27,37,983.11,53.29,new,0.99
124,Holly,Perez,johnavila@example.net,IN,2023-04-25,2023-06-06,13,2510.72,39.46,active,0.42
125,Ronald,Gordon,steelewilliam@example.org,US,2023-06-03,2023-12-20,24,1615.6,49.92,loyal,0.35
126,Michael,Vaughan,johnrodriguez@example.com,US,2023-06-27,2023-07-17,36,2424.37,193.27,active,0.15
127,April,Anderson,harrisonkimberly@example.net,IN,2023-01-26,2023-09-26,26,4409.52,79.45,churned,0.17
128,Aaron,Jimenez,mitchellbruce@example.org,CA,2023-05-20,2023-08-19,34,2471.22,104.91,new,0.73
129,Kathryn,Hayes,bearddominic@example.net,CA,2023-02-02,2023-05-04,47,3650.99,94.17,loyal,0.36
130,Sandra,Blake,qcook@example.com,UK,2023-06-03,2023-07-26,7,1302.75,45.78,loyal,0.86
131,Michael,Bernard,brownamanda@example.net,IN,2023-01-12,2023-08-24,23,2400.22,123.57,active,0.64
132,James,Patterson,ronald77@example.org,IN,2023-03-15,2023-06-26,12,867.55,117.16,churned,0.46
133,Lisa,Koch,palmermary@example.org,UK,2023-01-08,2023-07-07,34,836.57,50.91,loyal,0.96
134,Elizabeth,Lang,smorrison@example.org,UK,2023-10-12,2023-12-12,49,1216.96,57.84,new,0.9
135,Alison,Ortiz,coreybaird@example.org,IN,2023-03-21,2023-09-07,43,3880.14,195.66,active,0.1
136,Jason,Perez,alisonchen@example.net,IN,2023-07-07,2023-08-02,13,3084.04,176.59,churned,0.12
137,Jackson,Ballard,usavage@example.net,US,2023-08-24,2023-10-27,43,3688.07,24.55,churned,0.21
138,Jamie,Miller,thomaskim@example.org,US,2023-12-21,2023-12-26,31,1036.9,76.88,active,0.28
139,Brian,Martinez,drew98@example.org,CA,2023-06-16,2023-09-29,41,1380.49,84.0,active,0.04
140,Robert,Bond,denisegoodman@example.org,US,2023-12-16,2023-12-22,2,953.26,194.26,churned,0.72
141,Deborah,Chen,dylansmith@example.net,AU,2023-10-04,2023-10-11,26,1930.69,36.28,active,0.36
142,Jennifer,Johnson,ewiley@example.com,IN,2023-02-26,2023-10-12,40,962.23,145.71,loyal,0.37
143,Marco,Phillips,briggskylie@example.com,US,2023-08-06,2023-09-03,14,1424.3,93.18,loyal,0.12
144,Paige,Stone,bonniebray@example.net,AU,2023-11-20,2023-11-21,23,1670.8,31.73,churned,0.34
145,Kimberly,Collins,parkerchris@example.org,IN,2023-08-02,2023-08-30,29,1780.79,23.78,active,0.96
146,Michael,Murphy,nancymorgan@example.com,AU,2023-09-28,2023-10-26,39,4236.17,103.01,churned,0.0
147,Michael,Lee,bendermary@example.org,AU,2023-07-28,2023-11-10,33,3196.01,172.45,active,0.19
148,Emily,Huber,patriciacrawford@example.net,IN,2023-07-20,2023-08-06,40,185.98,163.83,active,0.13
149,Rebecca,Mills,ypatel@example.net,IN,2023-11-26,2023-12-18,32,533.02,166.93,loyal,0.73
150,Beth,Smith,michael98@example.org,CA,2023-05-24,2023-08-12,3,1914.16,172.61,active,0.77
151,Ralph,Howe,edwardsnancy@example.com,IN,2023-12-31,2023-12-31,3,455.37,45.41,loyal,1.0
152,Michael,Rowe,sparksnancy@example.com,CA,2023-10-02,2023-10-06,5,2102.22,185.79,active,0.57
153,Marvin,Glenn,bwilliams@example.net,IN,2023-09-29,2023-12-09,34,3534.77,63.49,active,0.67
154,Robert,Jensen,kristin14@example.com,CA,2023-06-16,2023-12-11,50,600.85,34.23,active,0.39
155,Derek,Figueroa,reesejacob@example.org,CA,2023-02-25,2023-07-03,17,4486.92,68.37,churned,0.32
156,David,Barron,ydawson@example.com,US,2023-06-19,2023-09-25,12,1821.48,123.11,active,0.04
157,Amanda,Flores,imcdonald@example.com,AU,2023-06-26,2023-12-14,14,744.92,134.45,new,0.58
158,Cynthia,Hawkins,timothyward@example.org,IN,2023-03-03,2023-06-12,45,3821.17,120.1,active,0.62
159,Katie,Brown,riggsjames@example.net,UK,2023-02-03,2023-06-11,4,4107.14,124.06,new,0.64
160,Laura,Freeman,jessicacardenas@example.org,AU,2023-07-13,2023-07-14,28,684.34,91.38,new,0.63
161,Mitchell,Jones,christophersuarez@example.com,IN,2023-09-08,2023-09-22,26,1176.54,60.73,new,0.08
162,Maria,Love,marissataylor@example.com,IN,2023-04-27,2023-10-01,46,606.7,100.37,new,0.65
163,Erin,Brown,lisa96@example.net,UK,2023-04-23,2023-05-03,3,820.35,95.93,new,0.54
164,Candice,Valdez,michele75@example.net,IN,2023-05-21,2023-10-29,22,4908.01,159.49,loyal,0.03
165,Jeremy,Abbott,uwilliams@example.com,CA,2023-08-03,2023-12-24,19,4934.03,146.18,churned,0.52
166,Gary,Anderson,nicholasherrera@example.net,CA,2023-06-04,2023-06-19,49,1243.1,71.61,churned,0.45
167,Cynthia,Riddle,melissafisher@example.com,AU,2023-06-29,2023-07-10,30,3914.27,181.05,new,0.5
168,Crystal,Gibson,hesskevin@example.org,AU,2023-11-24,2023-11-26,19,4235.36,138.48,active,0.96
169,Austin,Nicholson,brandismith@example.com,AU,2023-07-28,2023-08-25,14,3208.15,93.4,new,0.77
170,Anthony,Walker,lovegregory@example.org,UK,2023-04-05,2023-04-22,33,3196.73,30.15,active,1.0
171,Karen,Haas,tscott@example.com,US,2023-01-01,2023-04-20,14,468.3,73.35,active,0.25
172,Luis,Vargas,jamesallen@example.org,IN,2023-03-26,2023-06-13,18,620.31,50.17,new,0.54
173,Jacqueline,Robles,frank39@example.org,UK,2023-09-10,2023-11-01,43,4396.53,27.96,active,0.75
174,Joy,Stephens,catherinemarquez@example.com,US,2023-04-30,2023-08-22,49,1744.12,94.56,churned,0.08
175,Christy,Robertson,gparks@example.net,US,2023-08-30,2023-10-31,9,228.29,155.88,new,0.38
176,Patrick,Melendez,heather43@example.net,AU,2023-08-02,2023-12-17,46,2854.5,191.48,active,0.48
177,Jeanette,Jones,bushthomas@example.net,UK,2023-05-22,2023-08-04,18,1322.77,193.69,loyal,0.83
178,James,King,oharris@example.com,CA,2023-12-17,2023-12-20,33,4970.73,64.98,active,0.49
179,Travis,Hill,vnguyen@example.net,AU,2023-10-11,2023-11-09,27,2979.96,125.57,active,0.11
180,Danielle,Sellers,vbarnett@example.net,US,2023-08-18,2023-12-07,22,2991.41,179.52,loyal,0.32
181,Tanya,Jones,ygonzalez@example.com,AU,2023-03-01,2023-05-19,16,3931.69,90.28,churned,0.4
182,Debbie,Hayes,stephaniejones@example.net,US,2023-11-11,2023-12-24,41,3159.97,159.04,loyal,0.98
183,Sheila,Cohen,kochoa@example.org,CA,2023-02-22,2023-11-20,15,1448.86,107.71,loyal,0.57
184,Melissa,Carter,raymond29@example.org,IN,2023-04-12,2023-11-08,7,4016.72,22.42,new,0.47
185,Mark,Hodges,ashleydunn@example.net,UK,2023-04-18,2023-12-21,28,2666.45,103.37,active,0.6
186,Sandra,Lee,lisagarcia@example.org,CA,2023-09-14,2023-10-22,46,1431.97,64.57,active,0.67
187,Erik,Whitaker,cameronfisher@example.org,CA,2023-11-09,2023-11-21,33,4799.54,118.62,loyal,0.18
188,Crystal,Murphy,keithmaldonado@example.com,US,2023-10-20,2023-11-10,37,2610.4,97.57,loyal,0.68
189,Melissa,Mosley,johnrodriguez@example.net,AU,2023-01-08,2023-05-18,13,2669.72,185.35,new,0.16
190,Charles,Harris,johnstonluke@example.com,IN,2023-01-06,2023-08-29,13,4347.35,29.81,loyal,0.2
191,Linda,Guerrero,qgates@example.com,CA,2023-01-15,2023-11-01,41,511.64,179.58,loyal,0.58
192,Julie,Cooley,christinepoole@example.org,UK,2023-03-21,2023-06-05,14,4987.97,50.69,active,0.15
193,Jennifer,Smith,longheidi@example.net,UK,2023-06-23,2023-08-15,5,4227.16,193.61,churned,0.81
194,Stephen,Davis,patricia95@example.org,US,2023-11-15,2023-11-26,15,1556.18,178.73,new,0.13
195,Mariah,Morales,davidrogers@example.com,UK,2023-10-10,2023-11-23,4,1338.22,103.14,churned,0.23
196,Julian,Burns,zwilliams@example.net,CA,2023-05-12,2023-12-07,15,1857.82,82.21,active,0.68
197,Melissa,Stephenson,omar04@example.com,AU,2023-03-25,2023-09-23,23,3942.02,96.06,churned,0.21
198,Mason,Alvarez,rhondacook@example.net,AU,2023-03-11,2023-10-08,3,165.1,34.0,loyal,0.43
199,Shane,Flores,stephaniesmith@example.org,CA,2023-04-01,2023-09-26,42,3159.39,117.01,active,0.31
200,Benjamin,Nguyen,sarah64@example.org,UK,2023-12-19,2023-12-26,31,2650.13,56.21,loyal,0.56
201,Felicia,Zavala,christopherschroeder@example.net,US,2023-01-25,2023-06-06,44,1723.79,39.33,active,0.1
202,Kimberly,Long,kathygarcia@example.org,AU,2023-02-20,2023-03-22,40,1434.82,80.49,new,0.54
203,Carolyn,Moody,marcia94@example.org,CA,2023-04-08,2023-05-29,1,4773.63,63.06,new,0.5
204,Kendra,Nelson,justinfisher@example.org,AU,2023-10-28,2023-11-19,24,3621.7,163.02,active,0.23
205,Amy,Conner,laurawilliams@example.com,IN,2023-04-03,2023-09-25,49,1645.14,171.48,loyal,0.38
206,Sarah,Rice,josephwebb@example.org,US,2023-02-18,2023-12-19,39,2116.35,39.99,churned,0.14
207,Laurie,Ray,andrew06@example.com,US,2023-01-11,2023-10-04,18,1426.97,53.03,loyal,0.69
208,Ronald,Jackson,jennifer08@example.org,AU,2023-01-06,2023-07-03,22,4869.81,196.36,churned,0.69
209,Shawn,Lester,mary30@example.net,US,2023-05-22,2023-10-23,14,1023.36,24.28,new,0.72
210,Brandon,Young,howejennifer@example.net,CA,2023-08-07,2023-10-07,11,1814.16,29.05,churned,0.39
211,Robert,Berger,michaelschneider@example.org,CA,2023-12-11,2023-12-15,3,4527.86,72.1,active,0.9
212,Henry,Brown,kathrynwilliams@example.com,US,2023-01-10,2023-08-11,32,1944.65,34.46,churned,0.97
213,Ryan,Alvarez,john93@example.net,IN,2023-10-05,2023-10-07,15,3457.07,117.61,churned,0.07
214,Tony,Jordan,epeterson@example.com,CA,2023-04-13,2023-06-19,29,3393.28,83.45,new,0.95
215,Leslie,Wagner,jjames@example.com,IN,2023-02-03,2023-09-15,19,3878.23,106.53,active,0.6
216,Ryan,Perry,poolejeremy@example.com,CA,2023-09-23,2023-12-13,24,999.72,102.86,loyal,0.56
217,Barbara,Beck,ktorres@example.net,AU,2023-08-29,2023-11-21,12,1914.74,78.45,new,0.28
218,Jessica,Wilson,drogers@example.net,UK,2023-10-06,2023-12-08,40,1124.9,159.55,loyal,0.25
219,Anne,Riggs,annahowell@example.com,UK,2023-10-01,2023-10-23,23,2885.23,151.83,active,0.26
220,Derrick,Jackson,crojas@example.org,IN,2023-07-08,2023-11-12,28,1932.51,148.78,active,0.91
221,Joshua,Brown,anna42@example.com,US,2023-04-16,2023-08-06,45,107.12,174.42,active,0.91
222,Michael,Costa,egallagher@example.org,AU,2023-01-09,2023-01-28,39,2247.76,30.37,active,0.57
223,Wendy,Reeves,christinamorrow@example.org,IN,2023-11-07,2023-11-21,5,1465.12,131.03,churned,0.8
224,William,Jennings,rharvey@example.net,AU,2023-08-29,2023-10-11,48,3135.89,28.1,loyal,0.5
225,Brian,Henderson,qhays@example.net,UK,2023-10-21,2023-10-21,14,4636.29,60.85,active,0.66
226,Krystal,Jones,katherinesmith@example.net,AU,2023-04-30,2023-08-13,13,4242.3,141.9,churned,0.71
227,Steven,Goodman,johnnyhicks@example.net,CA,2023-08-13,2023-12-26,8,1785.5,42.66,active,0.06
228,Lisa,Ellis,sherry65@example.org,US,2023-02-04,2023-09-25,43,1087.51,191.72,active,0.81
229,Misty,Marks,ldavis@example.com,AU,2023-05-27,2023-12-01,39,4204.15,33.11,new,0.04
230,Kara,Young,rwilliamson@example.org,AU,2023-10-30,2023-11-26,28,2105.97,61.81,active,0.8
231,Gabriel,Todd,kristen74@example.org,IN,2023-01-19,2023-05-09,45,4931.21,54.2,loyal,0.97
232,Amber,Jimenez,sabrinaayers@example.org,UK,2023-08-12,2023-09-05,15,979.02,160.85,active,0.27
233,Joseph,Ramirez,mariomoon@example.com,UK,2023-09-21,2023-10-13,25,4139.19,26.96,active,0.64
234,Amy,Turner,oparsons@example.org,US,2023-08-25,2023-10-29,49,1586.54,169.25,new,0.42
235,Andrea,Hudson,dianegutierrez@example.net,CA,2023-12-30,2023-12-31,43,280.43,195.33,new,0.66
236,David,Gill,hallgregory@example.org,CA,2023-12-30,2023-12-30,2,2902.56,132.22,churned,0.24
237,Nicholas,Parker,phillipswanda@example.com,UK,2023-12-28,2023-12-30,13,2112.9,158.09,churned,0.01
238,Jennifer,Smith,adamwhite@example.net,CA,2023-06-30,2023-12-22,5,2747.36,47.74,new,0.76
239,Mark,Ryan,badams@example.com,US,2023-01-15,2023-04-30,36,1729.6,73.59,active,0.79
240,Susan,Jones,chambersmelissa@example.com,CA,2023-10-03,2023-11-18,41,4444.62,63.14,loyal,0.9
241,Amy,Coleman,katrina96@example.org,IN,2023-07-01,2023-08-01,41,164.19,130.99,active,0.63
242,Tina,Chan,harrisonsusan@example.org,US,2023-05-15,2023-12-27,2,2476.72,143.74,active,0.61
243,David,Smith,acostaryan@example.org,UK,2023-03-04,2023-11-13,45,629.48,180.42,new,0.84
244,Danielle,Paul,dramirez@example.com,AU,2023-03-20,2023-07-12,10,3556.89,191.17,new,0.07
245,Stacy,Arnold,andrea73@example.com,US,2023-05-05,2023-08-05,46,3381.1,182.69,active,0.43
246,Zachary,Coleman,shannon27@example.net,IN,2023-02-13,2023-08-19,43,4788.49,81.67,new,0.09
247,Tara,Matthews,brownharold@example.com,US,2023-10-07,2023-10-12,17,2111.33,148.08,new,0.07
248,Rachel,Watson,ingramjennifer@example.com,UK,2023-06-14,2023-08-27,1,2080.06,130.68,churned,0.68
249,Richard,Long,dunlapaaron@example.org,UK,2023-08-18,2023-09-11,42,3911.72,185.36,churned,0.2
250,Travis,Fields,baileydavid@example.com,US,2023-12-23,2023-12-27,4,1110.51,100.03,loyal,0.97
251,Daniel,Sanchez,paige34@example.net,UK,2023-02-15,2023-09-13,41,3330.4,131.85,churned,0.96
